FSCA	EGFP	classification
683161.4	147633	high
592766.4	147363.7	high
506372.4	147343.5	high
591456.9	147183.3	high
626058.4	147088.1	high
579528.7	145436	high
615754.2	144192.7	high
402214.9	144105	high
520132	144082.3	high
407397.6	143788.8	high
523657.3	143743.5	high
538883.2	143123.3	high
501537.8	142464.3	high
433143.4	141245.3	high
492271.7	140984.6	high
511484.8	140937.5	high
304688.5	140405.9	high
477088.7	140279	high
339265.1	140037.8	high
498220.9	139769	high
302583	139464	high
487599.9	139217.5	high
452678.6	138183.9	high
492946.8	138159	high
398223.6	138084.6	high
404265.3	137795.5	high
571206.8	137771.3	high
652336.2	137465	high
529108	137176.3	high
500582.8	137143.4	high
486462.6	135672.5	high
534409.2	135067.2	high
520527.7	134544.4	high
533331.2	134102.9	high
595965.5	131706.5	high
511505	131244.8	high
491597.5	131124.8	high
564711.6	130677.4	high
609674.9	130267.8	high
642053.9	129642.3	high
544192.2	129037.2	high
534696.8	128194.8	high
327176.1	128175.1	high
563852.2	127687.6	high
542539	127554.8	high
602945.8	127436.6	high
348001.9	127233.5	high
346780.6	126873.7	high
511990.9	126230.6	high
482396.9	126223.6	high
443338	126084	high
508973.6	125311.1	high
447201.8	124217.8	high
427073.2	124025	high
568346.9	123808.9	high
486036.3	123572.5	high
404936.2	123428.8	high
594836.2	123075	high
475194.1	122621.7	high
422208.1	121968	high
702911.7	121456.5	high
507831	120604.6	high
234153.2	120045.3	high
535517.8	119965	high
405263.8	119761.4	high
309338.2	119617.5	high
349448	119485.8	high
458455	119271.4	high
352217.3	119221	high
270863	119178.7	high
441886.4	119125.9	high
537337.9	118789.8	high
392154.6	118270.6	high
349729.7	118185.8	high
456474.8	118105.1	high
301935.5	117942	high
495907.9	117757.2	high
519153.1	117755.9	high
305552.3	117417	high
529132	117368.2	high
516955	117009.9	high
595128.1	116842	high
368119.2	116151.8	high
621255.1	115834.9	high
624496.9	115752.6	high
592047.1	115570.6	high
605268.2	115372.8	high
479511.2	115361.7	high
594290.2	114821.4	high
542474.7	114303.2	high
583153.2	114099.5	high
403425.2	113763.8	high
471229.1	113502.1	high
382712.8	113162.8	high
429645.2	112580.3	high
381661.5	112436.4	high
504259	112056.6	high
525796.1	112046.1	high
405821.1	112044.4	high
516757.1	111216.1	high
413694.4	111165.7	high
571445.8	111132.1	high
347079.9	111057.2	high
499105.9	110794.8	high
718947.2	110679.3	high
484264.7	110438.9	high
481539.3	110424.8	high
288527.7	110368	high
320163.7	110155.8	high
550511.5	110044.5	high
471248.2	109837.3	high
617339.3	109817.4	high
528550.4	109581.5	high
507760.9	109513.8	high
425587.8	109349.6	high
401791.5	109189.1	high
612235.4	108967.2	high
468544.1	107996.4	high
613946.6	107892	high
474233.5	107056.1	high
430607.1	106803.7	high
335961.4	106708.3	high
471527.6	106379.4	high
497231	106169.5	high
289473.9	104973.2	high
232933.5	104566.4	high
273286.8	104527.8	high
464679.8	104337.1	high
459565	104152.2	high
412040.6	102717.5	high
508056.2	102546.4	high
509570.6	101197.5	high
340745	101133.8	high
449485.5	101070.5	high
247377.4	101027.1	high
565898.6	100826.8	high
346991.2	100553.7	high
530113.2	100270.6	high
457960.4	99668.05	high
725133.6	99328.15	high
462848.2	99144	high
640943.7	98377.1	high
449452.8	97704.55	high
455686.5	97488.6	high
421925.5	97189.2	high
501089	96663.75	high
392676.1	96542.8	high
454806.4	96257.25	high
478518.7	96044.8	high
459919.9	95914.65	high
476256.3	94908.05	high
480881.4	94375.7	high
363620.4	94199.6	high
622263.1	93678.6	high
532287.1	93675.35	high
500487.3	93033.05	high
345351.8	93023.45	high
581318.3	92950.2	high
560099.7	92936.45	high
372599.3	92668.25	high
396885.3	92650.2	high
490327.8	92428.1	high
287357.2	92266.6	high
303398.3	92098.6	high
468010.4	91659	high
574144.2	91649	high
361871.4	91536.4	high
462309.5	91436.4	high
452859.3	91054.4	high
507100.5	90829.95	high
382215.1	90772.45	high
548384.5	89934.9	high
393344.9	89700.25	high
478060.6	89490.2	high
344644.3	88960.5	high
245314	88560.4	high
407807	88548.2	high
537491.1	88277.85	high
644338.9	88069.15	high
383416.6	87987.3	high
450469.5	87869.1	high
308787	87468.85	high
527944.5	86055.2	high
239276.1	85675.75	high
458352.4	85528.85	high
491583.4	85017.9	high
441049.4	84937.3	high
455348.5	84445.95	high
511460.5	84134.3	high
532847	82732.1	high
474915.3	80896.2	high
430545.7	80724.5	high
416736.3	79580.4	high
374938.8	79517.85	high
320680.2	78618.35	high
511459.2	78450.05	high
473308.5	77283.2	high
445399.7	77051	high
456796.5	76326.95	high
511600	75877.8	high
500789	75235.35	high
454978.8	74803.25	high
229941.6	74740.75	high
447650	74645.25	high
452474.3	74151.3	high
370993.9	73710.4	high
254166.8	73362	high
477520.2	73333.7	high
395725.2	71051	high
472390.3	71046.05	high
257781.4	70289.9	high
444705.8	69948.5	high
419109.1	69538.9	high
476875	69506.5	high
531029.3	69048.5	high
477783.8	69034.75	high
355908.9	68852.95	high
577519.4	68691.1	high
567785.5	67608.65	high
367801.2	67421.7	high
360867.2	67235	high
478684.2	66540.25	high
477168.1	66066.45	high
308931.8	65886.4	high
336620.7	65274.55	high
419487.4	64038.4	high
